NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,WEBSITE
KEYSTONE COLLEGE,ONE COLLEGE GREEN,LA PLUME,PA,18440,(570) 945-8000,1710,WYOMING,42131,USA,41.558969,-75.777456,www.keystone.edu/
MENLO COLLEGE,1000 EL CAMINO REAL,ATHERTON,CA,94027,(800) 556-3656,1027,SAN MATEO,06081,USA,37.45614030400003,-122.19205010899998,www.menlo.edu/
CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE,199 CHAMBERS ST,NEW YORK,NY,10007,(212) 220-8000,25263,NEW YORK,36061,USA,40.71878960200007,-74.01182621899994,www.bmcc.cuny.edu/
REGIS COLLEGE,235 WELLESLEY ST,WESTON,MA,02493,(781) 768-7000,4044,MIDDLESEX,25017,USA,42.351105020000034,-71.30912649399994,www.regiscollege.edu/
MASSACHUSETTS BAY COMMUNITY COLLEGE,50 OAKLAND ST,WELLESLEY HILLS,MA,02481,(781) 239-3000,4320,NORFOLK,25021,USA,42.31269651400004,-71.264004,https://www.massbay.edu/
AVI CAREER TRAINING,10130-A COLVIN RUN RD,GREAT FALLS,VA,22066,(703) 759-2200,52,FAIRFAX,51059,USA,38.97429205200007,-77.29672596699999,www.avicareertraining.com/
MANHATTANVILLE COLLEGE,2900 PURCHASE ST,PURCHASE,NY,10577,(914) 694-2200,2987,WESTCHESTER,36119,USA,41.03218287800007,-73.71563622699995,www.mville.edu/
POPE ST JOHN XXIII NATIONAL SEMINARY,558 SOUTH AVE,WESTON,MA,02493,(781) 899-5500,97,MIDDLESEX,25017,USA,42.339837533000036,-71.31093940299996,www.psjs.edu/
THE KING'S UNIVERSITY,2121 E. SOUTHLAKE BOULEVARD,SOUTHLAKE,TX,76092,(817) 722-1700,790,TARRANT,48439,USA,32.939665,-97.121441,https://www.tku.edu/
MONTCLAIR STATE UNIVERSITY,1 NORMAL AVENUE,MONTCLAIR,NJ,07043,(973) 655-4000,24106,PASSAIC,34031,USA,40.85914711500004,-74.19855030499997,www.montclair.edu/
SUNY AT PURCHASE COLLEGE,735 ANDERSON HILL RD,PURCHASE,NY,10577,(914) 251-6000,4657,WESTCHESTER,36119,USA,41.04922446900008,-73.70193588999996,www.purchase.edu/
NEW YORK INSTITUTE OF TECHNOLOGY,NORTHERN BLVD,OLD WESTBURY,NY,11568,(800) 345-6948,8409,NASSAU,36059,USA,40.814402,-73.608885,www.nyit.edu/
WELLESLEY COLLEGE,106 CENTRAL ST,WELLESLEY,MA,02481,(781) 283-1000,3457,NORFOLK,25021,USA,42.29374108700006,-71.30665725099993,www.wellesley.edu/
FOOTHILL-DE ANZA COMMUNITY COLLEGE DISTRICT,12345 EL MONTE RD,LOS ALTOS HILLS,CA,94022,(650) 949-6106,196,SANTA CLARA,06085,USA,37.360961176000046,-122.12705360499996,www.fhda.edu/
FOOTHILL COLLEGE,12345 EL MONTE RD,LOS ALTOS HILLS,CA,94022,(650) 949-7777,15286,SANTA CLARA,06085,USA,37.36110403500004,-122.12833,https://foothill.edu/
SMITH COLLEGE,ELM ST,NORTHAMPTON,MA,01063,(413) 584-2700,3780,HAMPSHIRE,25015,USA,42.317933,-72.638094,www.smith.edu/
VILLANOVA UNIVERSITY,800 LANCASTER AVENUE,VILLANOVA,PA,19085,(610) 519-4500,13968,DELAWARE,42045,USA,40.035771633000024,-75.34022218599995,www.villanova.edu/
SUNY COLLEGE AT OLD WESTBURY,223 STORE HILL RD,OLD WESTBURY,NY,11568,(516) 876-3000,5716,NASSAU,36059,USA,40.79667093300003,-73.57298904199996,www.oldwestbury.edu/
FLORIDA CAREER COLLEGE-BOYNTON BEACH,1743 NORTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,(561) 853-9941,723,PALM BEACH,12099,USA,26.542857268000034,-80.09219037499997,https://www.floridacareercollege.edu/
TREND BARBER COLLEGE,14806 ELLA BLVD.,HOUSTON,TX,77090,(281) 440-8383,87,HARRIS,48201,USA,30.013145875000077,-95.44840231499995,trendbarbercollege.com/
SAN FRANCISCO FILM SCHOOL,155 SANSOME STREET 2ND FLOOR,SAN FRANCISCO,CA,94104,(415) 824-7000,70,SAN FRANCISCO,06075,USA,37.782193343000074,-122.40679160199994,www.filmschoolsf.com/
REND LAKE COLLEGE,468 N KEN GRAY PKWY,INA,IL,62846,(618) 437-5321,2101,JEFFERSON,17081,USA,38.13148101100006,-88.91828310799997,www.rlc.edu/
MIAMI UNIVERSITY-MIDDLETOWN,4200 E UNIVERSITY BLVD,MIDDLETOWN,OH,45042,(513) 727-3200,1815,BUTLER,39017,USA,39.523776,-84.35724,miamioh.edu/regionals/
CENTRAL YESHIVA BETH JOSEPH,1502 AVENUE N,BROOKLYN,NY,11230,(718) 951-6858,35,KINGS,36047,USA,40.615475,-73.959376,https://centralyeshivabethjoseph.com/
WESTERN TECHNICAL COLLEGE,9451 DIANA DRIVE,EL PASO,TX,79924,(915) 566-9621,653,EL PASO,48141,USA,31.877798854000048,-106.42589093599997,www.westerntech.edu/
TULSA TECHNOLOGY CENTER,3420 S MEMORIAL DRIVE,TULSA,OK,74145,(918) 828-5000,4868,TULSA,40143,USA,36.112948334000066,-95.88908942799998,https://tulsatech.edu/
CHAMBERLAIN UNIVERSITY-OHIO,1350 ALUM CREEK DRIVE,COLUMBUS,OH,43209,(614) 252-8890,744,FRANKLIN,39049,USA,39.94044891600004,-82.94049278499995,https://www.chamberlain.edu/
UNITED THEOLOGICAL SEMINARY,4501 DENLINGER RD.,DAYTON,OH,45426,(937) 529-2201,472,MONTGOMERY,39113,USA,39.813461594000046,-84.27691342899999,www.united.edu/
HOLY FAMILY COLLEGE,2406 S ALVERNO RD,MANITOWOC,WI,54220,NOT AVAILABLE,-999,MANITOWOC,55071,USA,44.07103812100007,-87.74296135099996,NOT AVAILABLE
BUENA VISTA UNIVERSITY,610 W 4TH ST,STORM LAKE,IA,50588,(712) 749-2400,2355,BUENA VISTA,19021,USA,42.64225417700004,-95.20851103899997,https://www.bvu.edu/
EVANGELICAL THEOLOGICAL SEMINARY,121 S COLLEGE ST,MYERSTOWN,PA,17067,(717) 866-5775,218,LEBANON,42075,USA,40.372980994000045,-76.30625154399996,www.evangelical.edu/
MICHIGAN STATE UNIVERSITY,NOT AVAILABLE,EAST LANSING,MI,48824,(517) 355-1855,62325,INGHAM,26065,USA,42.72476,-84.473639,https://www.msu.edu/
KING'S COLLEGE,133 N RIVER ST,WILKES-BARRE,PA,18711,(570) 208-5900,2912,LUZERNE,42079,USA,41.24888894500003,-75.87803192899997,www.kings.edu/
